Link,Nome,Preço
https://www.kabum.com.br/produto/167948,"Processador Intel Core I7 10700 10ª Geração, 2.90GHz, Cachê 16MB, LGA 1200, Box","R$ 2.146,56"
https://www.kabum.com.br/produto/161605,"Processador AMD Ryzen 5 3400G, 3.7GHz (4.2GHz Max Turbo), Cache 6MB, AM4 - YD3400C5FHBOX","R$ 1.530,31"
https://www.kabum.com.br/produto/442578,"Processador Intel 1151 Core I5 8600 3.1ghz, 9MB S, Cooler Tray 8ºg I5-8600","R$ 870,48"
https://www.kabum.com.br/produto/462365,"Processador AMD Ryzen 5 5600x, Cache 35mb 3.7ghz 4.6ghz Max Turbo Am4","R$ 2.450,16"
https://www.kabum.com.br/produto/458525,"Processador Intel Core I7-12700 2.1ghz,4.9ghz Max Turbo,Cache 25mb LGA1700 - BX8071512700","R$ 2.538,45"
https://www.kabum.com.br/produto/398677,"Processador Intel Core I3-4150, 3.50GHz, Cache 3MB","R$ 139,99"
https://www.kabum.com.br/produto/345304,"Processador Intel Core I3-4150, 3.50GHz, Cache 3MB, Dual Core, LGA 1150, OEM","R$ 139,82"
https://www.kabum.com.br/produto/345259,"Processador Intel Core I3-10100F, 3.60GHz, LGA 1200, OEM","R$ 584,37"
https://www.kabum.com.br/produto/345256,"Processador Intel Core I7-3770, 3.40GHz, Smart Cache 8MB, LGA 1155, 8 Threads, OEM","R$ 583,86"
https://www.kabum.com.br/produto/470219,"Processador Dell E5-2603 V4, Servidor, 13g","R$ 1.050,00"
https://www.kabum.com.br/produto/467532,Processador Intel Pentium G3220 | G3250,"R$ 149,98"
https://www.kabum.com.br/produto/332129,"Processador Intel Xeon 4310 Silver 3ª Geração, 2.10GHz, Cache 18MB, 12 Cores, LGA 4189, 10.4GTS, Sem Cooler - BX806894310","R$ 7.548,00"
https://www.kabum.com.br/produto/315045,"Processador AMD, 3.6GHz, FM2 - A8-5600K","R$ 491,80"
https://www.kabum.com.br/produto/401428,"Processador Intel Core I3 4330, 3.5GHz, 1150, OEM","R$ 89,99"
https://www.kabum.com.br/produto/393246,"Processador AMD Ryzen 7 5700X, Cache 36MB, AM4, Redeon Graphics","R$ 1.775,45"
https://www.kabum.com.br/produto/423964,"Processador Intel Core I3-10100f, 4.30 Ghz, Cache 6MB, QuadCore, Threads 8, LGA 1200","R$ 893,00"
https://www.kabum.com.br/produto/348101,"Processador AMD Ryzen 5 4500, 3.6GHz, Cache 8MB, Hexa Core, 12 Threads","R$ 737,00"
https://www.kabum.com.br/produto/368277,"Processador AMD Ryzen Threadripper Pro 5995WX, 256 MB,  64 Núcleos, SP3 WOF - 100-100000444WOF","R$ 28.999,99"
https://www.kabum.com.br/produto/422165,"Processador Intel Core I5 13400f, 2.50ghz, 10-core, LGA1700","R$ 1.895,31"
https://www.kabum.com.br/produto/442577,Processador Intel Core I3-2100 Cache 3m 3.10ghz LGA 1155 Oem,"R$ 72,95"
https://www.kabum.com.br/produto/407375,"GPU Nv Rtx4090 24GB, GDDR6x, 384bits Pny - Vcg409024tfxxpb1-o","R$ 16.652,44"
https://www.kabum.com.br/produto/345242,"Processador AMD A6-7480, 3.8GHz, Dual Core, FM2+, OEM","R$ 271,28"
https://www.kabum.com.br/produto/231056,"Processador Intel I3-3220, 3.30GHz, Cache 3MB, FCLGA 1155, OEM","R$ 62,05"
https://www.kabum.com.br/produto/429949,Processador Intel 1155 Core I3 3220 3.3ghz/3MB S/ Cooler Tray 3º G I3-3220,"R$ 68,72"
https://www.kabum.com.br/produto/375646,"Processador Intel Core I5 3470 3ª Geração, 3.20GHz, Cache 6MB, Quad Core, 4 Threads, LGA 1155, OEM - 326B770","R$ 107,87"
https://www.kabum.com.br/produto/169709,"Processador Intel Core I5-9600KF Coffee Lake Refresh, 3.7GHz (4.6GHz Max Turbo), Cache 9MB, LGA 1151, Sem Ví­deo - BX80684I59600KF","R$ 1.599,90"
https://www.kabum.com.br/produto/457006,Processador Intel 1151 Core I3 8100 3.6ghz/6mb S/ Cooler Tray 8°g I3-8100,"R$ 572,69"
https://www.kabum.com.br/produto/396217,"Processador Intel Core I5 2500, 3.30GHz, Cache 6MB, LGA 1155, Sem Cooler Tray","R$ 114,54"
https://www.kabum.com.br/produto/416280,"Processador Intel Core I5 10400F, 2.90GHz, Cache 12MB, LGA 1200, Sem Cooler Tray - BX8070110400F","R$ 710,13"
https://www.kabum.com.br/produto/169445,"Processador Intel Core I7-11700KF 11ª Geração, 3.6GHz (4.9GHz Turbo), Cache 16MB, LGA 1200 - BX8070811700KF","R$ 1.705,87"
https://www.kabum.com.br/produto/373188,"Processador Intel Core I9-12900 12ª Geração, 1.8GHz, Cache 30MB, Núcleos 16, Threads 24, LGA 1700 - Bx8071512900","R$ 3.411,82"
https://www.kabum.com.br/produto/162821,Processador Intel Pentium Gold G6400 - BX80701G6400,"R$ 477,70"
